location,lat,lon,Site Type,Majority Waste Type,Licensed Tonnage,Tonnage Received 2016,Average Tonnage Received (2013-16),Difference,License Number,Operator,Facilities on site (if known)
"Greenwich Transfer Station, London",51.49642,0.1060153,Waste transfer (household and commercial),HIC,311000,0,24863.33,24863.33,83511,Peter Norris ( Haulage) Limited,Multiple waste types managed
"Victoria Deep Water Terminal, London",51.4973583,-0.0002726,"Transfer and treatment (construction, demolition and excavation)",Inert,800000,654538.07,661741.48,7203.41,101878,H Sivyer ( Transport) Limited,Only one waste type managed (90%)
"Jighand Limited, London",51.5001537,0.0400182,Metals and vehicle recycling,Inert,30000,0,7950.98,7950.98,401634,Jighand Limited,Multiple waste types managed
"London City Metals, London",51.5004129,0.0559217,Metals and vehicle recycling,Inert,74999,0,11782.2,11782.2,103174,London City Metals Ltd,Multiple waste types managed
"Proper Oils , London",51.500823,-0.389197,Materials recycling and sorting,HIC,999999,0,63.58,63.58,VP3932CU,Proper Energy Limited,Multiple waste types managed
"Mohawk Wharf Recycling Facility, London",51.5014007,0.0399174,"Transfer and treatment (construction, demolition and excavation)",Inert,75000,0,52640.5,52640.5,101242,Keltbray A W S Limited,Multiple waste types managed
"Orion Support Services, London",51.501734,0.0274811,"Transfer and treatment (construction, demolition and excavation)",Inert,150000,41334.01,25040.28,-16293.73,401256,Orion Support Services Limited,Only one waste type managed (90%)
"Recycled Material Supplies, London",51.5018182,0.0241709,"Transfer and treatment (construction, demolition and excavation)",Inert,230000,180390,140286.62,-40103.38,104575,Recycled Material Supplies Ltd,Only one waste type managed (90%)
"Hayes Transfer Station, London",51.503046,-0.4206713,Waste transfer (household and commercial),HIC,375950,0,824.33,824.33,80025,Suez Recycling And Recovery Uk Ltd,Multiple waste types managed
"B & P Scrap Co Ltd, London",51.5030544,0.2261774,Other,Haz,74999,0,4286.46,4286.46,101699,B & P Scrap Co Ltd,Multiple waste types managed
"Upside Railway Yard, London",51.5031653,-0.1123051,"Transfer and treatment (construction, demolition and excavation)",Inert,249999,234930.04,83554.99,-151375.05,400425,G B Railfreight Limited,Only one waste type managed (90%)
"Williams Environmental Management Ltd, London",51.5031986,0.0376727,Other,Haz,25000,5399.65,4804.92,-594.73,WP3336SA,Williams Environmental Management Ltd,Only one waste type managed (90%)
"Victoria Road Waste Transfer Station, London",51.5037423,-0.4748694,Waste transfer (household and commercial),HIC,734984,186477.33,126864.39,-59612.94,400834,Suez Recycling And Recovery U K Ltd,Only one waste type managed (90%)
"RIVERSIDE RESOURCE RECOVERY, London",51.504595,0.155259,Thermal treatment,HIC,785000,738555.88,717689.36,-20866.52,BK0825IU,Riverside Resource Recovery Limited,Only one waste type managed (90%)
"Creek Road Transfer Station, London",51.5046597,-0.0064129,Waste transfer (household and commercial),Inert,106250,0,2137.57,2137.57,80098,Euro Waste Barking Limited,Multiple waste types managed
"Docklands Wharf Transfer Station, London",51.5056229,0.0139307,"Transfer and treatment (construction, demolition and excavation)",Inert,414700,66444.4,66379.61,-64.79,80525,Multi Services Kent Limited,Only one waste type managed (90%)
"Volker Highways Depot, London",51.505769,-0.1007404,"Transfer and treatment (construction, demolition and excavation)",Inert,24999,0,7472,7472,104047,Volker Highways Limited,Multiple waste types managed
"Mr Andrew Davis, London",51.5063066,-0.0858852,Other,Inert,99999,0,6938.3,6938.3,102801,Davis Andrew,Multiple waste types managed
"Brewsters, Dock Road, London",51.5065426,0.0125609,"Transfer and treatment (construction, demolition and excavation)",Inert,275000,89588,43346,-46242,80781,Brewsters Waste Management Ltd,Multiple waste types managed
"X - Bert Haulage, London",51.5073509,-0.1277583,"Transfer and treatment (construction, demolition and excavation)",Inert,382500,103035,99779.75,-3255.25,80588,X - Bert Haulage Limited,Only one waste type managed (90%)
"Tripcock Point , London",51.5088886,0.0920615,Disposal,Haz,250000,0,107.96,107.96,EP3135PE,Tilfen Land Limited,Multiple waste types managed
"P M Highway Ltd, London",51.5090981,-0.1221424,Other,Inert,74999,0,3800,3800,104182,P M Highway Ltd,Multiple waste types managed
"Rainham Recycling Facility, London",51.50951,0.1791974,"Transfer and treatment (construction, demolition and excavation)",Inert,75000,0,7767.68,7767.68,401196,Brett Aggregates Limited,Multiple waste types managed
"Car Spares Of West Drayton Limited, London",51.5100432,-0.4609361,Metals and vehicle recycling,HIC,24999,0,8689.13,8689.13,80537,Car Spares Of West Drayton Limited,Multiple waste types managed
"Cory, Walbrook Wharf, London",51.5104872,-0.0916492,Waste transfer (household and commercial),HIC,171080,54670.01,54438.4,-231.61,80359,Cory Environmental Ltd,Only one waste type managed (90%)
"Beckton S T W Combined Heat And Power Plant, London",51.5104929,0.067811,Thermal treatment,HIC,999999,311.8,77.95,-233.85,400177,Thames Water Utilities Limited,Only one waste type managed (90%)
"Ecotech London Limited, London",51.5117594,0.1723394,Waste transfer (household and commercial),HIC,75000,3980.14,8298.94,4318.8,80734,Ecotech London Ltd,Only one waste type managed (90%)
"Rainham Eazystore Ltd, London",51.5118726,0.1792315,Materials recycling and sorting,Haz,74999,0.26,0.16,-0.1,102861,Rainham Eazystore Limited,Only one waste type managed (90%)
"Ingrebourne Links, London",51.5123315,0.2237347,Other - inert,Inert,600000,105188,894346.25,789158.25,101917,Ingrebourne Valley Ltd,Only one waste type managed (90%)
"South Hall Farm, London",51.5123813,0.2053388,Disposal,Inert,260000,0,4531.5,4531.5,80524,Havering Aggregates Limited,Multiple waste types managed
"Stockley Pines Golf Course (10th Hole), London",51.5132752,-0.4440025,Other - inert,Inert,23810,30484,7621,-22863,402093,Premier Material Supplies Limited,Only one waste type managed (90%)
"Sams Yard, London",51.514111,0.185954,Other,Haz,74999,200.79,205.38,4.59,103594,Sams Yard Ltd,Only one waste type managed (90%)
"A & J Plumbing & Heating London Ltd, London",51.5149242,-0.3371981,Metals and vehicle recycling,Inert,24999,188,150.9,-37.1,103439,A & J Plumbing & Heating London Ltd,Only one waste type managed (90%)
"D S Smith Recycling U K Ltd, London",51.515189,-0.201221,Waste transfer (household and commercial),HIC,74999,100.13,1961.68,1861.55,102933,D S Smith Recycling U K Ltd,Only one waste type managed (90%)
"Cronimet ( London) Ltd, London",51.5153053,0.0996253,Metals and vehicle recycling,Inert,74999,9193.07,7276.13,-1916.94,103650,Cronimet ( London ) Limited,Only one waste type managed (90%)
"Plasterzone, London",51.5157333,0.1046688,Materials recycling and sorting,Inert,30000,598.11,149.53,-448.58,403490,Plasterzone Limited,Only one waste type managed (90%)
"Van Dalen Dagenham, London",51.5157874,0.1454032,Other,HIC,150000,0,60524.09,60524.09,80620,Van Dalen U K Ltd,Multiple waste types managed
"Units 4-10 Atcost Road EPR/EP3494VG, London",51.5161758,0.1042967,Storage,Haz,16500,4702.62,1175.66,-3526.96,EP3531AP,Wastecare Limited,Multiple waste types managed
"Manns Waste Management Ltd, London",51.5164844,0.1459763,"Transfer and treatment (construction, demolition and excavation)",Inert,74999,42290,47722.6,5432.6,101645,Manns Waste Management Ltd,Multiple waste types managed
"Wastecare - Barking, London",51.5166578,0.1048771,Waste transfer (household and commercial),Haz,25000,4612.2,5858.54,1246.34,101134,Wastecare Limited,Multiple waste types managed
"Stone Terminal, London",51.516929,-0.26691,"Transfer and treatment (construction, demolition and excavation)",Inert,140000,70959.33,59073.63,-11885.7,80617,Aggregate Industries U K Ltd,Only one waste type managed (90%)
"Thunderer Road, London",51.5173801,0.1399565,Fuel preparation and MBT,Inert,175000,60231,15057.75,-45173.25,403070,Neptune Contract Services Limited,Multiple waste types managed
"Rainham M R F, London",51.517732,0.194831,Materials recycling and sorting,HIC,682440,137027.87,98258.38,-38769.49,80704,Veolia E S Cleanaway ( U K ) Ltd,Only one waste type managed (90%)
"Mayer Parry, Bidder Street, London",51.5179564,0.0033647,Metals and vehicle recycling,HIC,150000,108475.95,87544.19,-20931.76,80125,Mayer Parry Recycling Ltd,Only one waste type managed (90%)
"Quick Skips London, London",51.518001,-0.007245,"Transfer and treatment (construction, demolition and excavation)",Inert,74999,4790.6,3137.51,-1653.09,104011,Quick Skips London Limited,Only one waste type managed (90%)
"Day Aggregates, London",51.518008,-0.267434,"Transfer and treatment (construction, demolition and excavation)",Inert,649999,44038,168756.75,124718.75,83515,Day Group Limited,Multiple waste types managed
"75 - 77 Chequers Lane, London",51.5180189,0.1446672,"Transfer and treatment (construction, demolition and excavation)",Inert,170256,32082.6,27903.9,-4178.7,80583,R White Waste Management Ltd,Only one waste type managed (90%)
"I O D Skip Hire Ltd, London",51.5182718,0.0043896,"Transfer and treatment (construction, demolition and excavation)",Inert,350000,53307.66,66056.37,12748.71,80515,IOD Skip Hire Ltd,Multiple waste types managed
"Barking Riverside Development Park, London",51.51862,0.118781,"Transfer and treatment (construction, demolition and excavation)",Inert,249999,44254,43130,-1124,101679,Muckit Recycling Limited,Only one waste type managed (90%)
"Mc Grath Bros ( Waste Control), London",51.5187407,0.0969118,"Transfer and treatment (construction, demolition and excavation)",Inert,480000,312023.2,246932.8,-65090.4,80535,Mc Grath Brothers ( Waste Control) Ltd,Multiple waste types managed
"Remet Canning Town, Cody Road, London",51.5202216,-0.003418,Metals and vehicle recycling,Inert,74999,64603.76,41712.47,-22891.29,80115,The Remet Company Ltd,Multiple waste types managed
"Kilnbridge Construction Services Ltd, London",51.5203064,-0.0024197,"Transfer and treatment (construction, demolition and excavation)",Inert,100310,40453.81,46941.98,6488.17,80625,Kilnbridge Construction Services Ltd,Only one waste type managed (90%)
"Bywaters (1986) Limited, London",51.5223204,-0.006472,Household Reuse and Recycling Centres,HIC,418285,66625.27,70600.88,3975.61,80147,Bywaters (1986) Limited,Multiple waste types managed
"Wandsworth Road Goods Yard, London",51.5228932,-0.0757181,Waste transfer (household and commercial),HIC,182000,6979.26,2565.53,-4413.73,83668,Cory Environmental Ltd,Only one waste type managed (90%)
"Greenford Depot Civic Amenity Site, London",51.5237271,-0.350475,Household Reuse and Recycling Centres,HIC,37500,14837.77,15251.39,413.62,80031,Ealing London Borough Council,Only one waste type managed (90%)
"Pinns Wharf Ltd, London",51.5237482,0.0954844,Other,Inert,1000000,90265,101805.72,11540.72,104912,Pinns Wharf Ltd,Only one waste type managed (90%)
"Barking Waste Transfer And Recycling Facility, London",51.523972,0.0795826,Waste transfer (household and commercial),HIC,160250,119022.37,102960.16,-16062.21,80109,Biffa Waste Services Ltd,Only one waste type managed (90%)
"S U C Exc Uk Ltd, London",51.5242568,0.1345761,"Transfer and treatment (construction, demolition and excavation)",Inert,74999,44391,37664.26,-6726.74,104126,S U C Exc U K Ltd,Only one waste type managed (90%)
"Quattro Park Royal, London",51.5244021,-0.2568603,"Transfer and treatment (construction, demolition and excavation)",Inert,438000,82304.49,103320.63,21016.14,80595,Quattro ( U K ) Ltd,Only one waste type managed (90%)
"E L G Haniel Metals Ltd, London",51.5244519,0.0950868,Metals and vehicle recycling,HIC,74999,16128,15984.25,-143.75,400638,E L G Haniel Metals Limited,Multiple waste types managed
"Greenford Depot, London",51.524517,-0.353438,Waste transfer (household and commercial),HIC,75000,20862.4,20598.34,-264.06,80032,London Borough of Ealing Council,Only one waste type managed (90%)
"Edwards Waste Recycling - Barking, London",51.5248264,0.1084817,Waste transfer (household and commercial),HIC,74999,79890,75939.5,-3950.5,80765,Edwards Waste Paper Ltd,Only one waste type managed (90%)
"Scrubs Lane, Willesden, London",51.5250132,-0.234005,"Transfer and treatment (construction, demolition and excavation)",HIC,244305,27186.2,41871.69,14685.49,80019,J Simpson Waste Management Ltd,Multiple waste types managed
